债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间
128036,金农转债,2018-03-09,072548,100.0,002548,金新农,5.9,6.93,85.1371,121.7,42.95,2018-03-08,1.7081,6.5,2018-03-13,0.0497315872,2018-04-02
123009,星源转债,2018-03-07,370568,100.0,300568,星源材质,,,,,,2018-03-06,2.5,4.8,2018-03-09,0.040900838,2018-04-10
113505,杭电转债,2018-03-06,754618,100.0,603618,杭电股份,7.87,7.08,111.1582,124.84,12.31,2018-03-05,1.135,7.8,2018-03-08,0.08433624,2018-03-27
113504,艾华转债,2018-03-02,754989,100.0,603989,艾华集团,41.04,20.81,197.2129,199.9,1.36,2018-03-01,2.303,6.91,2018-03-06,0.02186045,2018-03-23
113019,玲珑转债,2018-03-01,783966,100.0,601966,玲珑轮胎,,,,,,2018-02-28,1.666,20.0,2018-03-05,0.2118095,2018-03-22
128035,大族转债,2018-02-06,072008,100.0,002008,大族激光,43.69,51.9,84.1811,120.023,42.58,2018-02-05,2.1554,23.0,2018-02-08,0.1958289975,2018-03-05
123008,康泰转债,2018-02-01,370601,100.0,300601,康泰生物,,,,,,2018-01-31,0.8453,3.56,2018-02-05,0.0258361808,2018-03-19
110043,无锡转债,2018-01-30,733908,100.0,600908,无锡银行,5.73,5.61,102.139,120.09,17.58,2018-01-29,1.623,30.0,2018-02-01,0.18813428,2018-03-14
128034,江银转债,2018-01-26,072807,100.0,002807,江阴银行,3.74,4.32,86.5741,107.255,23.89,2018-01-25,1.1316,20.0,2018-01-30,0.1388860765,2018-02-14
113018,常熟转债,2018-01-19,783128,100.0,601128,常熟银行,,,,,,2018-01-18,1.349,30.0,2018-01-23,0.19235421,2018-02-06
123007,道氏转债,2017-12-28,370409,100.0,300409,道氏技术,,,,,,2017-12-27,2.2325,4.8,2018-01-02,0.0718270362,2018-01-26
128033,迪龙转债,2017-12-27,072658,100.0,002658,雪迪龙,7.71,8.56,90.0701,117.153,30.07,2017-12-26,0.8596,5.2,2017-12-29,0.0386994433,2018-01-29
113017,吉视转债,2017-12-27,783929,100.0,601929,吉视传媒,1.84,2.95,62.3729,101.35,62.49,2017-12-26,0.501,15.6,2017-12-29,0.39953747,2018-01-15
110042,航电转债,2017-12-25,733372,100.0,600372,中航电子,,,,,,2017-12-22,1.364,24.0,2017-12-27,0.19683703,2018-01-15
128032,双环转债,2017-12-25,072472,100.0,002472,双环传动,,,,,,2017-12-22,1.4626,10.0,2017-12-27,0.0824623999,2018-01-25
128030,天康转债,2017-12-22,072100,100.0,002100,天康生物,10.18,7.39,137.7537,211.0,53.17,2017-12-21,1.038,10.0,2017-12-26,0.061818344,2018-01-29
110041,蒙电转债,2017-12-22,733863,100.0,600863,内蒙华电,3.74,2.56,146.0938,145.03,-0.73,2017-12-21,0.322,18.7522,2017-12-26,0.26659535,2018-01-09
128029,太阳转债,2017-12-22,072078,100.0,002078,太阳纸业,11.54,8.45,136.568,161.759,18.45,2017-12-21,0.4628,12.0,2017-12-26,0.0430740717,2018-01-16
128028,赣锋转债,2017-12-21,072460,100.0,002460,赣锋锂业,,,,,,2017-12-20,1.2731,9.28,2017-12-25,0.0612867536,2018-01-19
123006,东财转债,2017-12-20,370059,100.0,300059,东方财富,,,,,,2017-12-19,1.0842,46.5,2017-12-22,0.4036125764,2018-01-29
123005,万信转债,2017-12-19,370168,100.0,300168,万达信息,,,,,,2017-12-18,0.8728,9.0,2017-12-21,0.0806532888,2018-01-30
123004,铁汉转债,2017-12-18,370197,100.0,300197,节能铁汉,2.77,3.82,72.5131,103.499,42.73,2017-12-15,0.7238,11.0,2017-12-20,0.0594310767,2018-01-26
113503,泰晶转债,2017-12-15,754738,100.0,603738,泰晶科技,,,,,,2017-12-14,1.896,2.15,2017-12-19,0.00934887,2018-01-02
128027,崇达转债,2017-12-15,072815,100.0,002815,崇达技术,,,,,,2017-12-14,1.9512,8.0,2017-12-19,0.0186920436,2018-01-22
128026,众兴转债,2017-12-13,072772,100.0,002772,众兴菌业,8.13,11.36,71.5669,109.0,52.31,2017-12-12,2.4643,9.2,2017-12-15,0.0562980296,2018-01-03
123003,蓝思转债,2017-12-08,370433,100.0,300433,蓝思科技,,,,,,2017-12-07,1.8335,48.0,2017-12-12,0.330406672,2018-01-17
128025,特一转债,2017-12-06,072728,100.0,002728,特一药业,12.26,14.05,87.2598,113.7,30.3,2017-12-05,1.77,3.54,2017-12-08,0.0053821036,2017-12-28
128024,宁行转债,2017-12-05,072142,200.0,002142,宁波银行,,,,,,2017-12-04,1.9724,100.0,2017-12-07,0.0522117418,2018-01-12
128023,亚太转债,2017-12-04,072284,100.0,002284,亚太股份,6.9,10.34,66.7311,109.85,64.62,2017-12-01,1.3558,10.0,2017-12-06,0.0245376003,2017-12-26
128022,众信转债,2017-12-01,072707,100.0,002707,众信旅游,4.8,7.92,60.6061,105.65,74.32,2017-11-30,0.8359,7.0,2017-12-05,0.0033737505,2017-12-28
128021,兄弟转债,2017-11-28,072562,100.0,002562,兄弟科技,4.3,5.19,82.8516,113.8,37.35,2017-11-27,1.2929,7.0,2017-11-30,0.0013344475,2017-12-27
110040,生益转债,2017-11-24,733183,100.0,600183,生益科技,,,,,,2017-11-23,1.236,18.0,2017-11-28,0.00565852,2017-12-11
123002,国祯转债,2017-11-24,370388,100.0,300388,节能国祯,7.15,8.36,85.5263,112.219,31.21,2017-11-23,1.953,5.97,2017-11-28,0.0038855802,2017-12-25
128020,水晶转债,2017-11-17,072273,100.0,002273,水晶光电,,,,,,2017-11-16,1.78,11.8,2017-11-21,0.0044256667,2017-12-12
110039,宝信转债,2017-11-17,733845,100.0,600845,宝信软件,,,,,,2017-11-16,2.885,16.0,2017-11-21,0.00788728,2017-12-05
110038,济川转债,2017-11-13,733566,100.0,600566,济川药业,18.37,23.4,78.5043,111.5,42.03,2017-11-10,1.041,8.4316,2017-11-15,0.01157125,2017-11-29
113502,嘉澳转债,2017-11-10,754822,100.0,603822,嘉澳环保,41.7,44.64,93.414,124.64,33.43,2017-11-09,2.522,1.85,2017-11-14,0.00137415,2017-11-27
128019,久立转2,2017-11-08,072318,100.0,002318,久立特材,,,,,,2017-11-07,1.2358,10.4,2017-11-10,0.0050797097,2017-12-01
113016,小康转债,2017-11-06,783127,100.0,601127,小康股份,68.35,16.96,403.0071,409.11,1.51,2017-11-03,1.649,15.0,2017-11-08,0.00291446,2017-11-21
